'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0,758972911;0,638271256;0,455187136;0,392722943;0,299487337;0,270572156;0,333909362;0,346316528;0,251383393;0,299114231;0,540550627;0,632690613
1;0,7514439;0,634323248;0,423156391;0,382333447;0,305909935;0,271967317;0,344595701;0,33678929;0,24281736;0,31119444;0,54265821;0,614583206
2;0,771305377;0,679146501;0,434492957;0,389517041;0,298515852;0,275588798;0,348183626;0,32107076;0,24242157;0,32510733;0,529211234;0,631918822
3;0,781047216;0,68739873;0,495755644;0,40346865;0,319564701;0,255017597;0,379958705;0,345892467;0,24779301;0,323042337;0,50098149;0,650234019
4;0,765395508;0,70455624;0,511276279;0,427572281;0,304236821;0,248041792;0,373944413;0,367774018;0,23436441;0,314575866;0,519504477;0,6391321
5;0,742997374;0,684489671;0,527023079;0,486911144;0,33545928;0,266297621;0,402286442;0,39050369;0,276035476;0,361786767;0,523927433;0,651747917
6;0,8209051;0,743116112;0,543193941;0,516476681;0,346469447;0,255462861;0,379752206;0,380948181;0,267865233;0,381584887;0,568958477;0,689743787
7;0,834586852;0,769891327;0,583988614;0,587778306;0,450013592;0,358793818;0,434087333;0,449363365;0,361752351;0,420974628;0,569344372;0,690159367
8;0,865296583;0,769119535;0,633914736;0,524758593;0,422299274;0,305510546;0,403731937;0,386800224;0,325452724;0,427660043;0,665966684;0,755850665
9;0,893928414;0,764370052;0,592187128;0,497597483;0,423351716;0,284820608;0,395678464;0,382361718;0,295824992;0,405409744;0,698678754;0,775501654
10;0,870100038;0,714233313;0,516986967;0,463074672;0,364468911;0,269562891;0,387237805;0,376566217;0,279314882;0,399679388;0,676623338;0,755761612
11;0,825087884;0,67101301;0,479641324;0,387646932;0,288423199;0,214736037;0,34844175;0,342330354;0,230406507;0,34993887;0,641180315;0,723940071
12;0,78347593;0,598494329;0,398080248;0,33623377;0,265674251;0,200487586;0,332902678;0,315162176;0,219239565;0,315892299;0,58599725;0,641209999
13;0,689781567;0,512795831;0,417869764;0,326705118;0,264918651;0,204287173;0,331147434;0,321975424;0,220992351;0,306625643;0,501426754;0,586947147
14;0,608770485;0,489493676;0,402122963;0,333710607;0,242223675;0,206602546;0,346609069;0,327318593;0,225289503;0,311220252;0,51834679;0,576676388
15;0,633840204;0,459631296;0,362402578;0,329228281;0,243842817;0,201496851;0,357579344;0,318130603;0,229841092;0,312949684;0,545092321;0,551860335
16;0,633948147;0,483230294;0,353440754;0,334274608;0,251425799;0,193185254;0,351590864;0,329665064;0,217034448;0,327507884;0,517960894;0,55655045
17;0,694234208;0,513389516;0,391295271;0,474295328;0,406107852;0,32519122;0,464416917;0,41965082;0,342754415;0,430189659;0,500714331;0,583681877
18;0,810245748;0,659258038;0,518654941;0,484031769;0,346685333;0,277666698;0,418341762;0,396270921;0,325707161;0,392761662;0,604846764;0,68635978
19;0,817289016;0,660920357;0,487217881;0,467082049;0,365008626;0,266089831;0,402312254;0,397175584;0,304815086;0,387005494;0,62197459;0,678938711
20;0,75357577;0,653113393;0,482383585;0,424217958;0,351812617;0,287343771;0,382385072;0,380863369;0,279060445;0,374692973;0,615711208;0,67142859
21;0,781640902;0,629158184;0,4841081;0,442622207;0,362202112;0,341665992;0,406674552;0,393048056;0,2884746;0,350196994;0,597277274;0,663235731
22;0,777970846;0,647384328;0,470114086;0,405902761;0,333003581;0,325072483;0,385276062;0,364749049;0,297012363;0,33687779;0,597603801;0,657684771
23;0,7850411;0,615354997;0,490666911;0,383313028;0,30361615;0,264991513;0,356159661;0,329147144;0,273971712;0,316950607;0,590776418;0,651035494
