'Time (h)';'January (kWh/h)';'February (kWh/h)';'March (kWh/h)';'April (kWh/h)';'May (kWh/h)';'June (kWh/h)';'July (kWh/h)';'August (kWh/h)';'September (kWh/h)';'October (kWh/h)';'November (kWh/h)';'December (kWh/h)'
0;0,7467244;0,657506666;0,432440501;0,391298098;0,294731857;0,273451531;0,35554339;0,351001102;0,221972403;0,308493816;0,540669364;0,554880035
1;0,722779086;0,641922422;0,416173519;0,410117927;0,297238529;0,251663274;0,360367085;0,377360738;0,22454504;0,28400429;0,541322418;0,545435039
2;0,712158712;0,682664088;0,398125481;0,436655668;0,282528322;0,254809807;0,351387592;0,376707684;0,246907193;0,283187973;0,54779359;0,611657955
3;0,750946163;0,7230347;0,380552391;0,4513197;0,320194367;0,220435418;0,415579834;0,377954423;0,244202626;0,278883753;0,546309376;0,649653826
4;0,74098544;0,736392623;0,405012232;0,466814891;0,350604257;0,218357518;0,403928756;0,38543486;0,226062237;0,301963276;0,585492617;0,63945323
5;0,766184091;0,704778872;0,430837551;0,515615837;0,40482753;0,279447754;0,431906184;0,388106445;0,249545795;0,34574758;0,603421919;0,614734326
6;0,782411494;0,77505639;0,5228588;0,4639652;0,357464622;0,272620371;0,389235041;0,388063699;0,240772443;0,346044422;0,599206752;0,64020883
7;0,77766201;0,763702155;0,499586329;0,506651186;0,419867562;0,365828991;0,42819565;0,432996191;0,303900999;0,438436725;0,598672435;0,661473564
8;0,79646205;0,754796873;0,515972048;0,490799784;0,340247743;0,258015708;0,373205533;0,371905955;0,259242658;0,4389562;0,663799732;0,698497949
9;0,833600375;0,723479964;0,494421265;0,47091132;0,361158665;0,269236364;0,377732385;0,389004097;0,294533962;0,423668798;0,633284298;0,669191475
10;0,811370152;0,732830511;0,512706778;0,458325188;0,392887856;0,265614882;0,400292433;0,389538414;0,302977488;0,387231352;0,616364262;0,652622253
11;0,799496442;0,700845706;0,455950446;0,40020338;0,351659698;0,210580239;0,342853363;0,347268008;0,224874866;0,375877118;0,597485064;0,696932779
12;0,749692827;0,619807638;0,348255901;0,362741826;0,328242104;0,203337276;0,336100191;0,336937881;0,209241148;0,332241235;0,57516249;0,613223126
13;0,701340443;0,620772377;0,32213374;0,334719872;0,29921748;0,189860616;0,347602847;0,330763552;0,232988567;0,323632796;0,540906838;0,56081689
14;0,617630791;0,561106986;0,311150558;0,348434006;0,281670776;0,203634119;0,324968588;0,332663345;0,21841029;0,304115386;0,516150154;0,506575626
15;0,616773246;0,531793766;0,327298803;0,381739762;0,314587338;0,226372272;0,325265431;0,342162313;0,211813785;0,28511745;0,498458326;0,504254856
16;0,633528369;0,566821209;0,327773752;0,392901049;0,339588093;0,254987912;0,313614353;0,350711384;0,225072761;0,300998537;0,537047882;0,485202949
17;0,649887702;0,573871224;0,362088772;0,53591988;0,546058709;0,305926126;0,433241977;0,421122481;0,371976934;0,457954135;0,610071196;0,52821816
18;0,795868364;0,71108678;0,498339589;0,514131623;0,436292861;0,276716801;0,367713942;0,399334224;0,359509539;0,373353954;0,708266774;0,630493977
19;0,805499262;0,782774301;0,483972401;0,468120999;0,385829595;0,272917214;0,37936502;0,383126611;0,326988768;0,368233417;0,701261285;0,630278091
20;0,751737744;0,736912098;0,461768564;0,488662516;0,359773399;0,259381185;0,394429789;0,384967036;0,267686185;0,366081307;0,599741069;0,674156845
21;0,757674599;0,740251579;0,467171102;0,509263402;0,340907394;0,295655368;0,408010344;0,384492088;0,283253938;0,375357643;0,576765441;0,668381904
22;0,77231884;0,759694778;0,436893142;0,452091491;0,332134042;0,305926126;0,350200221;0,375817155;0,275404096;0,356137075;0,58988589;0,680201642
23;0,745471064;0,746188434;0,39652253;0,412255195;0,320590158;0,272501634;0,323632796;0,359892136;0,260166169;0,340255989;0,566910262;0,64058663
